Title,Published_date,Likes,Views
"Donating $100,000 To Shroud In Real Life",2019-04-04,880849,31969544
"Last To Leave The Tesla, Keeps It Challenge",2019-03-29,1891246,105339974
"Donating $100,000 To Streamers With 0 Viewers",2019-03-24,3152094,90189662
Surviving 24 Hours Straight In A Desert,2019-03-16,2778781,135148429
"$200,000 Youtuber Battle Royale",2019-03-12,1655547,47966031
Surprising Strangers With 100 Zombies - Experiment,2019-03-03,1780554,59467082
I Gave A Homeless Man A Home,2019-02-28,2099436,76553974
Standing Still For 24 Hours Straight - Statue Challenge,2019-02-22,1830430,100140127
Giant Monopoly Game With Real Money,2019-02-15,2204440,100839477
I Spent 24 Hours Straight In Insane Asylum,2019-02-10,2199584,109971993
I Advertised Pewdiepie At The Super Bowl,2019-02-04,1260415,43710186
I Went Back To 1st Grade For A Day,2019-01-31,3124316,179532956
I Opened The World’s Cheapest Store,2019-01-26,1150483,41099673
I Put 10 Million Legos in Friend's House,2019-01-18,1529067,90165345
Make This Video The Most Liked Video On Youtube,2019-01-16,27928053,138437198
"20,000 Magnets Vs A Car",2019-01-14,770654,33504581
"Eating A $10,000 Golden Steak (24k Gold)",2019-01-11,2270749,138772472
Last To Take Hand Off House Keeps It!,2019-01-08,1521436,82833466
"I Gave Him One Hour To Spend $100,000!",2019-01-01,1470771,71730277
"How I Gave Away $1,000,000",2018-12-25,492735,14403502
"Giving $100,000 To A Homeless Person",2018-12-23,1030083,31128156
I Spent 24 Hours Straight In Prison - Challenge,2018-12-19,2036833,110266377
Donating $10000 To Pewdiepie,2018-12-16,1741575,46818900
"Last Youtuber To Leave Wins $100,000 - Challenge",2018-12-12,2079214,95382047
I Put Millions Of Pennies In My Friends Backyard,2018-12-08,2441842,142315990
Surprising TFue With A Fortnite Battle Bus In Real Life,2018-12-07,1876070,99708320
I Built A Giant House Using Only Legos,2018-12-02,1046138,64015630
"Last To Leave Slime Pit Wins $20,000 - Challenge",2018-11-30,2178892,125044788
"Saying Pewdiepie 100,000 Times",2018-11-25,1686653,25646707
Destroyed Friend's House And Bought Him A New One,2018-11-24,1130488,42924374
I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22,4632416,187352142
"Spending $40,000 In One Hour Challenge",2018-11-17,932869,44051346
"Giving My 10,000,000th Subscriber 10,000,000 ___",2018-11-13,791484,28569293
"$10,000 Games Of Rock Paper Scissors",2018-11-04,515311,18334649
"Last To Remove Hand, Gets Lamborghini Challenge",2018-11-02,1613106,86385453
"You Pick The Right Cup, You Win $100,000!",2018-10-28,982629,35990839
I Bought Every Billboard In My City For This,2018-10-26,1332714,38544435
"Ordering Water Then Tipping $30,000",2018-10-23,1156514,43306590
"I Spent $50,000 On Lottery Tickets And Won ____",2018-10-19,750447,30999790
"Last To Leave Circle Wins $10,000 - Challenge",2018-10-12,1549271,89605061
I Spent 24 Hours Straight In Slime,2018-10-09,917653,41147730
"Surprising Tfue With $10,000 Live - Fortnite",2018-10-04,1513731,72109302
"I Spent $30,000 On Lottery Tickets And Won ____",2018-09-28,425392,17046867
Flat Earth PROVEN By Independent Research,2018-09-22,800350,28054747
Things That SHOULDN'T Be Sold On Amazon,2018-09-21,2126802,135425380
"Surprising My 8,000,000th Subscriber With 8,000,000 ___",2018-09-19,557671,34624844
"I Donated $25,000 To Random Kids Streaming Fortnite",2018-09-14,1307784,63527893
I Hope This Magic Trick Works,2018-09-11,725250,42940025
Can A Glowing 1000 Degree Sword Slice A Car In Half?,2018-09-06,1149518,69122500
Rocket League In Real Life!,2018-09-01,546771,28404721
Destroying My Friend's Car And Surprising Him With A New One - Slime,2018-08-28,2368646,109156001
Spending 24 Hours Straight Under Water Challenge,2018-08-24,3344583,132078156
"Attempting The Impossible Maze - $10,000 Challenge",2018-08-15,1018622,56214222
